ORIGINAL FILE,TYPE,CONVERTED,NOTES
addPIS.m,M-file,,
ai2mif.c,C,,
axisLabels.m,M-file,,
bilogplot.m,M-file,,
bplogsmooth.m,M-file,,
bquantize.m,M-file,,
bunquantize.m,M-file,,
calculateQTF.m,M-file,,
calculateSNR.m,M-file,,
calculateTF.m,M-file,,
cancelPZ.m,M-file,,
changeFig.m,M-file,,
circ_smooth.m,M-file,,
clans5.m,M-file,,
clans6.m,M-file,,
clans.m,M-file,,
Contents.m,M-file,,
dbm.m,M-file,,
dbp.m,M-file,,
dbv.m,M-file,,
delay.m,M-file,,
designHBF6.m,M-file,,
designHBF7.m,M-file,,
designHBF.m,M-file,,
designLCBP6.m,M-file,,
designLCBP.m,M-file,,
DocumentNTF.m,M-file,,
dsclansNTF.m,M-file,,
dsclansObj.m,M-file,,
dsdemo1.m,M-file,,demo
dsdemo2.m,M-file,,demo
dsdemo3.m,M-file,,demo
dsdemo4fig.m,M-file,,demo
dsdemo4.m,M-file,,demo
dsdemo4.mat,MAT-file,,demo
dsdemo5.m,M-file,,demo
dsdemo6.m,M-file,,demo
dsdemo7.m,M-file,,demo
dsdemo8.m,M-file,,demo
dsexample1.m,M-file,,example
dsexample2.m,M-file,,example
dsexample3.m,M-file,,example
dsexample4.m,M-file,,example
ds_f1f2.m,M-file,,
ds_freq.m,M-file,,
ds_hann.m,M-file,,
ds_optzeros.m,M-file,,
ds_quantize.m,M-file,,
ds_synNTFobj1.m,M-file,,
DSToolbox.pdf,pdf,,doc
ESLselect.m,M-file,,
evalF0.m,M-file,,
evalF1.m,M-file,,
evalMixedTF.m,M-file,,
evalRPoly.m,M-file,,
evalTF.m,M-file,,
evalTFP.m,M-file,,
exampleHBF.m,M-file,,
figureMagic.m,M-file,,
findPattern.m,M-file,,
flattenStruct.c,C,,
flattenStruct.m,M-file,,
frespF1.m,M-file,,
frespHBF.m,M-file,,
impL1.m,M-file,,
infnorm.m,M-file,,
l1norm.m,M-file,,
LCObj1.m,M-file,,
LCObj.m,M-file,,
LCoptparam2tf.m,M-file,,
LCparam2tf.m,M-file,,
LCplotTF.m,M-file,,
logsmooth.m,M-file,,
lollipop.m,M-file,,
mapABCD.m,M-file,,
mapCtoD.m,M-file,,
mapQtoR.m,M-file,,
mapRtoQ.m,M-file,,
mod1.m,M-file,,
mod2.m,M-file,,
nabsH.m,M-file,,
OnePageStory.pdf,pdf,,doc
padb.m,M-file,,
padl.m,M-file,,
padr.m,M-file,,
padt.m,M-file,,
partitionABCD.m,M-file,,
peakSNR.m,M-file,,
PlotExampleSpectrum.m,M-file,,
plotPZ.m,M-file,,
plotSpectrum.m,M-file,,
plotUsage.m,M-file,,
PosInvSet,M-file,,
predictSNR.m,M-file,,
printmif.m,M-file,,
pulse.m,M-file,,
realizeNTF_ct.m,M-file,,
realizeNTF.m,M-file,,
realizeQNTF.m,M-file,,
rmsGain.m,M-file,,
rms.m,M-file,X,
scaleABCD.m,M-file,,
selectQESL.m,M-file,,
simulateDSM.c,C,,
simulateDSM.m,M-file,,
simulateESL.c,C,,
simulateESL.m,M-file,,
simulateHBF.m,M-file,,
simulateQDSM.m,M-file,,
simulateQESL.m,M-file,,
simulateQSNR.m,M-file,,
simulateSNR.m,M-file,,
sinc_decimate.m,M-file,,
SIunits.m,M-file,x,
stuffABCD.m,M-file,,
synthesizeChebyshevNTF.m,M-file,,
synthesizeNTF0.m,M-file,,
synthesizeNTF1.m,M-file,,
synthesizeNTF.m,M-file,,
synthesizeQNTF.m,M-file,,
thermometer.m,M-file,X,
undbm.m,M-file,X,
undbp.m,M-file,X,
undbv.m,M-file,X,
zinc.m,M-file,X,
,,,
,,,
COMPLETED,9.6774193548,%,
